country,total_migration,origin_lat,origin_lon,continent
Mongolia,59266,46,105,Asia
Botswana,58346,-22,24,Africa
Tonga,56524,-20,-175,Oceania
Bahrain,55964,26,50.5,Asia
Saint Lucia,55414,13.883333,-60.966667,Caribbean
Brunei Darussalam,46237,4.5,114.666667,Asia
Bhutan,44190,27.5,90.5,Asia
Bahamas,40095,24,-76,Caribbean
Saint Kitts and Nevis,39132,17.333333,-62.75,Caribbean
Iceland,38496,65,-18,Europe
Timor-Leste,37311,-8.833333,125.75,Asia
Sao Tome and Principe,35833,1,7,Africa
Monaco,28626,43.733333,7.4,Europe
Qatar,25681,25.5,51.25,Asia
Sint Maarten Dutch part,23811,18.04167,-63.06667,Caribbean
Costa Rica,21505,10,-84,Central America
Oman,21333,21,57,Asia
Channel Islands,20335,,,Europe
Federated States of Micronesia,19798,5,152,Oceania
Montserrat,17744,16.75,-62.2,Caribbean
Greenland,17552,72,-40,Northern America
Bermuda,17046,32.333333,-64.75,Northern America
Aruba,16724,12.5,-69.966667,Caribbean
Djibouti,15927,11.5,42.5,Africa
Faeroe Islands,14284,,,Europe
Martinique,13618,14.666667,-61,Caribbean
Gibraltar,13065,36.133333,-5.35,Europe
Seychelles,11772,-4.583333,55.666667,Africa
Isle of Man,10957,54.25,-4.5,Europe
Guadeloupe,10610,16.25,-61.583333,Caribbean
"Bonaire, Sint Eustatius and Saba",8920,12.2,-68.25,Caribbean
Vanuatu,8583,-16,167,Oceania
Wallis and Futuna Islands,7843,-13.3,-176.2,Oceania
Andorra,7571,42.5,1.5,Europe
Marshall Islands,6901,10,167,Oceania
Mayotte,6602,-12.833333,45.166667,Africa
New Caledonia,6330,-21.5,165.5,Oceania
Niue,5355,-19.033333,-169.866667,Oceania
Kiribati,4717,-5,-170,Oceania
Papua New Guinea,4631,-6,147,Oceania
British Virgin Islands,4624,18.5,-64.5,Caribbean
French Guyana,4372,4,-53,South America
Saint Helena Ascension and Tristan da Cunha,3958,-15.95,-5.7,Africa
Liechtenstein,3870,47.166667,9.533333,Europe
Solomon Islands,3833,-8,159,Oceania
Tuvalu,3472,-8,178,Oceania
Virgin Islands US,3407,18.3482891,-64.9834807,Caribbean
Reunion,3028,-21.1,55.6,Africa
Maldives,2844,3.2,73,Oceania
Northern Mariana Islands,2649,16,146,Oceania
Palau,2552,6,134,Oceania
Anguilla,2406,18.216667,-63.05,Caribbean
Nauru,2391,-0.533333,166.916667,Oceania
San Marino,2303,43.933333,12.416667,Europe
Tokelau,2255,-9,-171.75,Oceania
Guam,2144,13.4444444,144.7366667,Oceania
American Samoa,2035,-14.3333333,-170,Oceania
Turks and Caicos Islands,1878,21.733333,-71.583333,Caribbean
Cayman Islands,1569,19.5,-80.666667,Caribbean
French Polynesia,1337,-15,-140,Oceania
Falkland Islands Malvinas,1124,-51.75,-59.166667,South America
Saint Pierre and Miquelon,435,46.833333,-56.333333,Northern America
Holy See,182,41.9,12.45,Europe
