destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Northern America,United States,Montserrat,"6,085",39.828175,-98.5795,16.75,-62.2
Northern America,United States,Morocco,"62,510",39.828175,-98.5795,32,-5
Northern America,United States,Myanmar,"103,291",39.828175,-98.5795,22,98
Northern America,United States,Nepal,"74,904",39.828175,-98.5795,28,84
Northern America,United States,Netherlands,"87,922",39.828175,-98.5795,52.5,5.75
Northern America,United States,New Zealand,"30,794",39.828175,-98.5795,-42,174
Northern America,United States,Nicaragua,"257,427",39.828175,-98.5795,13,-85
Northern America,United States,Nigeria,"237,221",39.828175,-98.5795,10,8
Northern America,United States,Norway,"27,839",39.828175,-98.5795,62,10
Northern America,United States,Pakistan,"325,419",39.828175,-98.5795,30,70
Northern America,United States,Panama,"107,852",39.828175,-98.5795,9,-80
Northern America,United States,Paraguay,"28,642",39.828175,-98.5795,-22.993333,-57.996389
Northern America,United States,Peru,"442,615",39.828175,-98.5795,-10,-76
Northern America,United States,Philippines,"1,896,031",39.828175,-98.5795,13,122
Northern America,United States,Poland,"463,732",39.828175,-98.5795,52,20
Northern America,United States,Portugal,"392,626",39.828175,-98.5795,39.5,-8
Northern America,United States,Puerto Rico,"1,744,402",39.828175,-98.5795,18.2482882,-66.4998941
Northern America,United States,Republic of Korea,"1,119,578",39.828175,-98.5795,37,127.5
Northern America,United States,Republic of Moldova,"37,489",39.828175,-98.5795,47,29
Northern America,United States,Romania,"167,135",39.828175,-98.5795,46,25
Northern America,United States,Russian Federation,"402,574",39.828175,-98.5795,60,100
Northern America,United States,Saint Kitts and Nevis,"17,226",39.828175,-98.5795,17.333333,-62.75
Northern America,United States,Saint Lucia,"21,076",39.828175,-98.5795,13.883333,-60.966667
Northern America,United States,Saint Vincent and the Grenadines,"22,808",39.828175,-98.5795,13.083333,-61.2
Northern America,United States,Samoa,"16,866",39.828175,-98.5795,-13.803096,-172.178309
Northern America,United States,Saudi Arabia,"62,496",39.828175,-98.5795,25,45
Northern America,United States,Senegal,"38,148",39.828175,-98.5795,14,-14
Northern America,United States,Serbia,"33,605",39.828175,-98.5795,44,21
Northern America,United States,Sierra Leone,"36,561",39.828175,-98.5795,8.5,-11.5
Northern America,United States,Singapore,"31,302",39.828175,-98.5795,1.366667,103.8
Northern America,United States,Slovenia,"8,715",39.828175,-98.5795,46.25,15.166667
Northern America,United States,Somalia,"145,579",39.828175,-98.5795,6,48
Northern America,United States,South Africa,"88,907",39.828175,-98.5795,-30,26
Northern America,United States,Spain,"94,364",39.828175,-98.5795,40,-4
Northern America,United States,Sri Lanka,"48,074",39.828175,-98.5795,7,81
Northern America,United States,State of Palestine,"36,221",39.828175,-98.5795,,
Northern America,United States,Sudan,"42,306",39.828175,-98.5795,16,30
Northern America,United States,Suriname,"13,338",39.828175,-98.5795,4,-56
Northern America,United States,Sweden,"46,919",39.828175,-98.5795,62,15
Northern America,United States,Switzerland,"41,218",39.828175,-98.5795,47,8
Northern America,United States,Syrian Arab Republic,"69,459",39.828175,-98.5795,35,38
Northern America,United States,Tajikistan,"4,331",39.828175,-98.5795,39,71
Northern America,United States,Thailand,"236,180",39.828175,-98.5795,15,100
Northern America,United States,The former Yugoslav Republic of Macedonia  ,"25,316",39.828175,-98.5795,41.833333,22
Northern America,United States,Tonga,"17,717",39.828175,-98.5795,-20,-175
Northern America,United States,Trinidad and Tobago,"240,948",39.828175,-98.5795,11,-61
Northern America,United States,Tunisia,"10,295",39.828175,-98.5795,34,9
Northern America,United States,Turkey,"107,627",39.828175,-98.5795,39.059012,34.911546
Northern America,United States,Turkmenistan,"2,079",39.828175,-98.5795,40,60
Northern America,United States,Uganda,"41,203",39.828175,-98.5795,2,33
Northern America,United States,Ukraine,"345,783",39.828175,-98.5795,49,32
Northern America,United States,United Arab Emirates,"11,197",39.828175,-98.5795,24,54
Northern America,United States,United Kingdom,"714,999",39.828175,-98.5795,54,-4
Northern America,United States,United Republic of Tanzania,"45,297",39.828175,-98.5795,-6,35
Northern America,United States,Uruguay,"47,664",39.828175,-98.5795,-33,-56
Northern America,United States,Uzbekistan,"36,743",39.828175,-98.5795,41.707542,63.84911
Northern America,United States,Bolivarian Republic of Venezuela,"197,171",39.828175,-98.5795,8,-66
Northern America,United States,Viet Nam,"1,302,870",39.828175,-98.5795,16.166667,107.833333
Northern America,United States,Yemen,"40,861",39.828175,-98.5795,15.5,47.5
Northern America,United States,Zambia,"22,409",39.828175,-98.5795,-15,30
Northern America,United States,Zimbabwe,"50,001",39.828175,-98.5795,-19,29
Africa,Burundi,Belgium,605,-3.5,30,50.833333,4
Africa,Burundi,The Democratic Republic of the Congo,"167,768",-3.5,30,0,25
Africa,Burundi,France,302,-3.5,30,46,2
Africa,Burundi,Kenya,"1,032",-3.5,30,1,38
Africa,Burundi,Rwanda,"64,363",-3.5,30,-2,30
Africa,Burundi,Uganda,891,-3.5,30,2,33
Africa,Burundi,United Republic of Tanzania,"28,008",-3.5,30,-6,35
Africa,Comoros,France,482,-12.166667,44.25,46,2
Africa,Comoros,Kenya,76,-12.166667,44.25,1,38
Africa,Comoros,Madagascar,"9,651",-12.166667,44.25,-20,47
Africa,Comoros,R_union,850,-12.166667,44.25,-21.1,55.6
Africa,Comoros,United Republic of Tanzania,145,-12.166667,44.25,-6,35
Africa,Djibouti,Ethiopia,"12,323",11.5,42.5,8,38
Africa,Djibouti,Somalia,"93,042",11.5,42.5,6,48
Africa,Djibouti,Yemen,265,11.5,42.5,15.5,47.5
Africa,Eritrea,Angola,346,15,39,-12.5,18.5
Africa,Eritrea,Burundi,"1,046",15,39,-3.5,30
Africa,Eritrea,China,135,15,39,35,105
Africa,Eritrea,Comoros,192,15,39,-12.166667,44.25
